"n_PORiskAdditionalFloodInfo_PK","n_PORiskMasterFK","n_POTermMasterFK","n_CreatedTransactionFK","s_CommunityNumber","s_CommunityName","s_PanelNumber","s_MapSuffix","s_FloodZone","s_FloodZoneGroup","S_CommunitySFHA","s_CountyName","s_GrandfatheringTypeCode","s_BaseElevation","s_GICommunityNo","s_GIPanelNo","s_GIMapSuffix","s_GIMapZone","s_PriorPolicyNo","s_PriorPolicyExpDt","s_PriorCommunityNumber","s_PriorPanelNumber","s_PriorMapSuffix","s_PriorFloodZone","d_PriorMapDate","s_PriorBaseElevation","s_PolicyTypeCode","s_PolicyWaitingPeriod","d_PropertyPurchaseDt","s_PolicyMeetPRP","d_FloodLoanClosingDt","s_PriorCompanyNAIC","d_PriorNBDate","s_isInsuredTenant","s_RentalProperty","s_CondoOwnership","s_CondoDescription","s_IsCoverageFor","s_ManufactureMobileHome","s_DtOfConstructionSource","d_DateOfConstruction","s_BuildingCourseConstruction","s_BuildingOverWater","s_IsFoudationPartInWater","s_BuildingFederalLand","s_Occupancy","s_InsuredResides","s_NoOfUnits","s_BuildingPurpose","s_AddExtCoverage","s_Foundation","s_NoOfFloors","s_IsInsuredNonProfitEnt","s_IsBuildingHouseWarship","s_BuildingType","s_BuildingUse","s_IsSmallBusinessEmp","s_IsAgriculturalStruct","s_BuildingDescription","s_CBRSorOPA","d_CBRSOPADate","s_SevereLossProperty","s_FloodProgramType","s_FloodConstructionType","s_isBuildingWallRoof","d_InitialFirmDate","s_DetachedGarage","s_AddExtOtherAttachedGarage","n_ReplacementCost","n_ReplacementCostRatio","s_OtherBuilding","s_ContentLocationTRRP","s_PersonalPropertyHousehold","s_PersonalPropertyHouseholdDescribe","s_WithCOC_OR_EC","s_ElevationDifference","s_ElevationDifferenceTRRP","s_ElevationCertificateType","s_ElevatedBldgFreeObstruction","s_SubstantialImprovement","s_PolicyAssignment","n_PercResidentialPurposes","s_IsTownRowCondo","s_ResidentialUnit","s_NonResidentialUnit","s_TotalSqFootage","s_NonResidSqFootage","s_FloorInBuild","s_MobileHomePark","d_MobileHomeParkDate","s_IsPolicyMortgage","s_BaseFloodElevation","d_CurrentFirmDate","s_IsPriorFIPPolicy","s_IsReqByLender","s_IsPriorNFIPLapsed","s_IsCommunitySuspension","d_SuspensionDate","d_ReinstatementDate","s_IsEffeWithIn180Days","s_NoOfElevator","s_BldgConstructionType","s_NoOfDetatchedStruct","s_IsBldgContainME","s_AllMachinaryElevated","s_UnitLocatedOnFloor","s_IsPropNewlyMapped","s_IsNewPurchase","s_IsBldgNRHP","d_SubstantialImprovmentDate","s_IsPreFirmSubsidyEligible","s_RiskRating20","s_IsAddInsureds","s_TableNo","metadata","n_CreatedUser","d_CreatedDate","n_UpdatedUser","d_UpdatedDate"
95,8,57,94,"320018",,"8825",F,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"320018","8825",F,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1996-01-01",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,15400.0,999,,LOWESTFLRONLYABOVEGROUNDLEVEL,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"9999","2015-12-02",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2019-10-22 12:00:00",1,"2023-12-01 21:40:40"
96,3,70,96,"320018",,"8825",F,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"320018","8825",F,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"2000-01-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,15000.0,999,,LOWESTFLRONLYABOVEGROUNDLEVEL,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"1","2015-12-02",YES,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2021-03-01 12:00:00",1,"2023-12-01 21:40:41"
97,13,72,98,"320018",,"8825",F,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"320018","8825",F,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"2001-06-06",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,20350.0,999,,,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"9999","2015-12-02",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2018-05-29 12:00:00",1,"2023-12-01 21:40:41"
98,10,73,99,"320008",,"0000",F,A,A,,DOUGLAS COUNTY,CONTINUOUSCOVERAGE,,"320008","0265",G,A,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,BLDGPERMITDT,"1981-09-01",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,MAINHOUSEBLDG,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,9000.0,999,,,YES,,,"00020",PLUSTWO,"3","10",,"",0,NO,,,,,,,,,"9999","2010-01-20",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3C,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2019-10-11 12:00:00",1,"2023-12-01 21:40:41"
99,16,74,100,"060188",,"0465",G,AOB,"",,MERCED COUNTY,NOGRANDFATHERING,,"060188","0465",G,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1979-01-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPREFIRM,NO,,NO,NO,9400.0,999,,,YES,,,"00000",,"3","10",,"",0,NO,,,,,,,,,"2","2008-12-02",YES,NO,NO,NO,,,,"0",,,,,,,,,,YES,NO,,R3A,"{""s_RRMethod"":""B"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2018-04-05 12:00:00",1,"2023-12-01 21:40:41"
100,14,71,97,"320018",,"8740",F,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"000000","","",AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"2000-05-23",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,MAINHOUSEBLDG,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,250000.0,100,,,YES,,,"00020",PLUSTWO,"","10",,"",0,NO,,,,,,,,,"9999","2015-12-02",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,"","{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2018-09-11 12:00:00",1,"2023-12-01 21:40:40"
101,12,75,101,"060188",,"0280",B,AOB,"",,MERCED COUNTY,CONTINUOUSCOVERAGE,,"060188","0465",G,AHB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1979-01-01",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",NAX,SLABONGRADE,FLDONERFLOOR,NO,NO,,MAINHOUSEBLDG,NO,NO,,,,NO,FLOODREGULAR,FLDPREFIRM,YES,,NO,YES,25000.0,999,,,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"231","2008-12-02",NO,NO,NO,NO,,,,"0",,,,,,,,,,YES,NO,,R3A,"{""s_RRMethod"":""B"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2021-05-28 12:00:00",1,"2023-12-01 21:40:41"
102,5,76,102,"060191",,"0000",E,AOB,"",,MERCED COUNTY,CONTINUOUSCOVERAGE,,"060191","0428",G,AE,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1977-01-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,MAINHOUSEBLDG,NO,NO,,,,NO,FLOODREGULAR,FLDPREFIRM,YES,,NO,NO,8000.0,999,,,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"167","2008-12-02",NO,NO,NO,NO,,,,"0",,,,,,,,,,YES,NO,,R3A,"{""s_RRMethod"":""B"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2021-09-14 12:00:00",1,"2023-12-01 21:40:41"
103,15,67,103,"320018",,"8840",F,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"320018","8840",F,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"2000-09-01",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,NO,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,25000.0,999,,LOWESTFLRONLYABOVEGROUNDLEVEL,NO,,,"00010",PLUSONE,"","10",,"",0,NO,,,,,,,,,"1","2015-12-02",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2018-10-17 12:00:00",1,"2023-12-01 21:40:41"
104,6,78,105,"060188",,"0470",G,AOB,"",,MERCED COUNTY,NOGRANDFATHERING,,"060188","0470",G,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1959-02-03",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,ELEWATEDONCRAWLSPACE,FLDONERFLOOR,NO,NO,,MAINHOUSEBLDG,NO,NO,,,,NO,FLOODREGULAR,FLDPREFIRM,NO,,NO,NO,5600.0,999,,,YES,,,"00010",PLUSONE,"","10",,"",0,NO,,,,,,,,,"1","2008-12-02",NO,NO,NO,NO,,,,"0",,,,,,,,,,YES,NO,,R3A,"{""s_RRMethod"":""B"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2021-05-25 12:00:00",1,"2023-12-01 21:40:41"
105,11,79,106,"320018",,"8750",F,AO,AO,,NYE COUNTY,NOGRANDFATHERING,,"320018","8750",F,AO,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1979-06-30",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPREFIRM,NO,,NO,NO,2600.0,999,,,YES,,,"09990",,"","10",,"",0,NO,,,,,,,,,"1","2015-12-02",NO,NO,NO,NO,,,,"0",,,,,,,,,,YES,NO,,R2A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2021-08-09 12:00:00",1,"2023-12-01 21:40:41"
106,7,81,107,"065053",,"0002",F,AE,AE,,TEHAMA COUNTY,CONTINUOUSCOVERAGE,,"065053","0786",H,AE,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1962-07-01",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPREFIRM,NO,,NO,NO,18000.0,691,,LOWESTFLRONLYABOVEGROUNDLEVEL,YES,,,"00010",PLUSONE,"","10",,"",0,NO,,,,,,,,,"268","2011-09-29",NO,NO,NO,NO,,,,"0",,,,,,,,,,YES,NO,,R3B,"{""s_RRMethod"":""B"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2021-11-09 12:00:00",1,"2023-12-01 21:40:41"
107,8,82,108,"320018",,"8825",F,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"320018","8825",F,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1996-01-01",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,15400.0,999,,LOWESTFLRONLYABOVEGROUNDLEVEL,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"9999","2015-12-02",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2020-10-14 12:00:00",1,"2023-12-01 21:40:41"
108,4,77,104,"065071",,"0687",E,AH,AH,,TULARE COUNTY,NOGRANDFATHERING,,"000000","","",AH,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1995-01-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100NONRESIDENTIAL",,SLABONGRADE,FLDTWOFLOORS,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,81000.0,280,,,YES,,,"09990",,"","10",,"",0,NO,,,,,,,,,"0","2009-06-16",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2021-02-02 12:00:00",1,"2023-12-01 21:40:41"
109,18,80,109,"320018",,"8825",F,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"000000","","",AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1983-10-16",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,NO,"1","100RESIDENTIAL",NAX,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,YES,110000.0,86,,,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"1","2015-12-02",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2019-07-25 12:00:00",1,"2023-12-01 21:40:41"
110,3,84,111,"320018",,"8825",F,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"320018","8825",F,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"2000-01-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,15000.0,999,,LOWESTFLRONLYABOVEGROUNDLEVEL,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"1","2015-12-02",YES,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2022-01-31 12:00:00",1,"2023-12-01 21:40:41"
111,9,83,110,"320001",,"0094",F,AOB,"",,INDEPENDENT CITY,NOGRANDFATHERING,,"000000","","",AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"2001-01-01",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",NAX,SLABONGRADE,FLDONERFLOOR,NO,NO,,MAINHOUSEBLDG,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,YES,122100.0,205,,,YES,,,"00030",PLUSTHREE,"","10",,"",0,NO,,,,,,,,,"4641","2016-12-22",NO,NO,NO,NO,"2016-12-30","2017-01-05",,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2021-02-01 12:00:00",1,"2023-12-01 21:40:41"
112,14,71,112,"320018",,"8740",F,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"320018","8740",F,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"2000-05-23",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,MAINHOUSEBLDG,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,25000.0,999,,,YES,,,"00020",PLUSTWO,"","10",,"",0,NO,,,,,,,,,"9999","2015-12-02",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2018-12-20 12:00:00",1,"2023-12-01 21:40:41"
113,17,85,113,"320018",,"8840",G,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"320018","8840",G,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1994-01-01",NO,,NO,NO,SINGLEFAMILY,NO,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,7400.0,999,,,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"9999","2020-03-06",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2019-08-01 12:00:00",1,"2023-12-01 21:40:42"
114,15,86,114,"320018",,"8840",G,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"320018","8840",G,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"2000-09-01",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,NO,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,25000.0,999,,LOWESTFLRONLYABOVEGROUNDLEVEL,NO,,,"00010",PLUSONE,"","10",,"",0,NO,,,,,,,,,"1","2020-03-06",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGCONTENT""}",1,"2019-06-17 12:00:00",1,"2023-12-01 21:40:42"
115,4,77,115,"065071",,"0687",E,AH,AH,,TULARE COUNTY,NOGRANDFATHERING,,"065071","0687",E,AH,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1995-01-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100NONRESIDENTIAL",,SLABONGRADE,FLDTWOFLOORS,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,8100.0,999,,,YES,,,"09990",,"","10",,"",0,NO,,,,,,,,,"0","2009-06-16",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2021-07-13 12:00:00",1,"2023-12-01 21:40:42"
116,13,87,117,"320018",,"8825",F,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"320018","8825",F,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"2001-06-06",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,20350.0,999,,,YES,,,"00000",,"","10",,"",0,NO,,,,,,,,,"9999","2015-12-02",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2019-05-28 12:00:00",1,"2023-12-01 21:40:43"
117,16,88,118,"060188",,"0465",G,AOB,"",,MERCED COUNTY,NOGRANDFATHERING,,"060188","0465",G,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1979-01-01",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPREFIRM,NO,,NO,NO,9400.0,999,,,YES,,,"00000",,"3","10",,"",0,NO,,,,,,,,,"2","2008-12-02",YES,NO,NO,NO,,,,"0",,,,,,,,,,YES,NO,,R3A,"{""s_RRMethod"":""B"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2019-04-08 12:00:00",1,"2023-12-01 21:40:43"
118,9,83,116,"320001",,"0094",F,AOB,"",,INDEPENDENT CITY,NOGRANDFATHERING,,"320001","0094",F,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"2001-01-01",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",NAX,SLABONGRADE,FLDONERFLOOR,NO,NO,,MAINHOUSEBLDG,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,YES,12210.0,999,,,YES,,,"00030",PLUSTHREE,"","10",,"",0,NO,,,,,,,,,"4641","2016-12-22",NO,NO,NO,NO,"2016-12-30","2017-01-05",,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2022-01-04 12:00:00",1,"2023-12-01 21:40:42"
119,19,89,119,"320018",,"8840",F,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"320018","8840",F,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"1998-03-01",NO,,NO,NO,SINGLEFAMILY,NO,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,14200.0,999,,,YES,,,"00010",PLUSONE,"","10",,"",0,NO,,,,,,,,,"9999",,YES,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2016-08-30 12:00:00",1,"2023-12-01 21:40:42"
120,20,91,121,"320018",,"8825",F,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"320018","8825",F,AOB,,,,,,,,,SFIP,LOANNOWAIT,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"2001-08-14",NO,,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,25000.0,999,,,YES,,,"00020",PLUSTWO,"","10",,"",0,NO,,,,,,,,,"9999",,YES,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2016-09-14 12:00:00",1,"2023-12-01 21:40:42"
121,10,92,122,"320008",,"0000",F,A,A,,DOUGLAS COUNTY,CONTINUOUSCOVERAGE,,"320008","0265",G,A,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,BLDGPERMITDT,"1981-09-01",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,MAINHOUSEBLDG,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,9000.0,999,,,YES,,,"00020",PLUSTWO,"3","10",,"",0,NO,,,,,,,,,"9999","2010-01-20",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3C,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2020-10-12 12:00:00",1,"2023-12-01 21:40:43"
122,14,93,123,"320018",,"8740",F,AOB,"",,NYE COUNTY,NOGRANDFATHERING,,"320018","8740",F,AOB,,,,,,,,,SFIP,ROLLOVER_RENEWAL,,,,,,TENANT,NO,NO,,UNIT,NO,ORIGINALCONSTRDT,"2000-05-23",NO,NOTOVERWATER,NO,NO,SINGLEFAMILY,YES,"1","100RESIDENTIAL",,SLABONGRADE,FLDONERFLOOR,NO,NO,,MAINHOUSEBLDG,NO,NO,,,,NO,FLOODREGULAR,FLDPOSTFIRM,NO,,NO,NO,25000.0,999,,,YES,,,"00020",PLUSTWO,"","10",,"",0,NO,,,,,,,,,"9999","2015-12-02",NO,NO,NO,NO,,,,"0",,,,,,,,,,NO,NO,,R3A,"{""s_RRMethod"":""1"",""formType"":""Dwelling Policy"",""CovrgRequestedID"":""BUILDINGONLY""}",1,"2019-09-10 12:00:00",1,"2023-12-01 21:40:43"
